"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20130101 ~ 20131231"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"서울특별시 강남구 논현동","100-33","0100","0033","동현타운","58.68","28.7","201310","24","25,000","3","1992","선릉로141길 26",""
"서울특별시 강남구 논현동","149-18","0149","0018","라인빌리지(149-18)","17.61","11.25","201312","15","27,500","4","2012","논현로123길 52-5",""
"서울특별시 강남구 논현동","32-9","0032","0009","베르사이유II","92","68.87","201310","11","68,000","2","2003","도산대로24길 31",""
"서울특별시 강남구 논현동","32-9","0032","0009","베르사이유II","80.33","60.13","201311","2","52,500","2","2003","도산대로24길 31",""
"서울특별시 강남구 논현동","14-3","0014","0003","베르사이유Ⅲ","92.02","69.64","201311","8","62,000","2","2003","학동로11길 52",""
"서울특별시 강남구 논현동","151-4","0151","0004","산호빌라","46.16","20.8","201304","1","25,500","3","2002","봉은사로25길 68",""
"서울특별시 강남구 논현동","151-4","0151","0004","산호빌라","58.31","25.6","201304","22","29,500","4","2002","봉은사로25길 68",""
"서울특별시 강남구 논현동","268","0268","0000","삼성베스트빌(268)","66.49","32.32","201312","26","47,500","3","2003","봉은사로51길 32",""
"서울특별시 강남구 논현동","41-5","0041","0005","삼익빌라(41-5)","191.16","156.11","201307","19","90,000","2","1990","강남대로136길 64",""
"서울특별시 강남구 논현동","150-4","0150","0004","세광파크빌라(가동,나동)","84.69","66.08","201303","4","39,000","1","1982","논현로123길 29",""
"서울특별시 강남구 논현동","42-2","0042","0002","세림빌라(42-2)","204.45","169.59","201309","2","100,000","2","1991","학동로11길 20-6",""
"서울특별시 강남구 논현동","39","0039","0000","세아주택","74.55","42.46","201311","26","42,200","4","2003","학동로19길 26",""
"서울특별시 강남구 논현동","150-12","0150","0012","세일빌라(다동)","69.36","69.4","201309","21","45,000","3","1982","학동로18길 43",""
"서울특별시 강남구 논현동","150-12","0150","0012","세일빌라(다동)","69.36","69.4","201312","9","45,000","2","1982","학동로18길 43",""
"서울특별시 강남구 논현동","262-3","0262","0003","스카이팰리스","84.85","42.23","201303","27","38,000","3","2002","언주로122길 18",""
"서울특별시 강남구 논현동","103-1","0103","0001","신현빌라","230.9","120.63","201306","27","56,000","1","1997","선릉로141길 17",""
"서울특별시 강남구 논현동","178-3","0178","0003","영동아트빌라","59.81","25.15","201306","15","25,500","1","1991","논현로119길 47",""
"서울특별시 강남구 논현동","39-8","0039","0008","예림아트빌라","130.53","76.27","201310","11","62,500","3","1991","학동로21길 19",""
"서울특별시 강남구 논현동","82-1","0082","0001","우진골드빌라","53.73","24.38","201310","22","26,000","4","1993","논현로136길 22",""
"서울특별시 강남구 논현동","45","0045","0000","월드노블레스빌","129.13","60.04","201304","4","67,000","2","2001","강남대로136길 34",""
"서울특별시 강남구 논현동","273-8","0273","0008","은탑산수인","108.31","52.18","201303","1","48,500","2","2002","언주로114길 15-10",""
"서울특별시 강남구 논현동","183-17","0183","0017","이건빌라","50.94","33.75","201306","6","33,000","3","1991","강남대로116길 21",""
"서울특별시 강남구 논현동","270-35","0270","0035","청화빌라","163.3","112.29","201304","3","80,000","4","1992","봉은사로47길 16",""
"서울특별시 강남구 논현동","272-8","0272","0008","파크빌","16.82","11.2","201312","20","15,800","3","2013","언주로114길 29-11",""
"서울특별시 강남구 논현동","182-15","0182","0015","한승빌라","52.05","28.79","201311","30","34,200","3","1991","강남대로120길 26",""
"서울특별시 강남구 논현동","12-8","0012","0008","휴먼하이츠","144.99","17.8","201303","22","83,000","1","1992","논현로145길 62",""
"서울특별시 강남구 논현동","32-4","0032","0004","힐스빌5차","224.23","166.73","201307","29","135,000","1","2003","논현로145길 11",""
"서울특별시 강남구 대치동","916-21","0916","0021","(916-21)","50.85","29.73","201312","25","30,000","2","2004","삼성로69길 38",""
"서울특별시 강남구 대치동","963-5","0963","0005","(963-5)","98.65","76.86","201311","8","54,000","2","1983","역삼로88길 26",""
"서울특별시 강남구 대치동","965-14","0965","0014","(965-14)","109.56","85.68","201305","6","50,000","-1","1983","역삼로86길 8",""
"서울특별시 강남구 대치동","965-20","0965","0020","(965-20)","31.68","24","201311","21","23,000","-1","1986","역삼로86길 3",""
"서울특별시 강남구 대치동","973-30","0973","0030","(973-30)","65.38","51.94","201305","9","35,000","3","1983","도곡로87길 27",""
"서울특별시 강남구 대치동","978-29","0978","0029","(978-29)","15.76","15.42","201304","19","21,000","-1","1982","도곡로93길 21-14",""
"서울특별시 강남구 대치동","978-29","0978","0029","(978-29)","18.7","15.42","201312","20","17,000","-1","1982","도곡로93길 21-14",""
"서울특별시 강남구 대치동","954-17","0954","0017","골든빌","70.92","32.68","201301","22","34,000","4","2006","역삼로87길 15",""
"서울특별시 강남구 대치동","954-17","0954","0017","골든빌","53.14","32.66","201309","25","29,000","2","2006","역삼로87길 15",""
"서울특별시 강남구 대치동","934-8","0934","0008","그랜드빌라","111.43","78.85","201306","26","61,000","3","1990","삼성로63길 43",""
"서울특별시 강남구 대치동","973-24","0973","0024","그림빌라","54.85","49.98","201302","6","37,000","1","1987","삼성로70길 22-7",""
"서울특별시 강남구 대치동","954-20","0954","0020","금마타운","81.32","49.05","201309","24","45,000","5","2006","역삼로87길 13",""
"서울특별시 강남구 대치동","978-19","0978","0019","동우빌라","65.63","38.26","201309","24","36,000","3","1992","삼성로72길 51-9",""
"서울특별시 강남구 대치동","967-8","0967","0008","삼성빌라","71.82","42.7","201306","17","39,000","2","2008","영동대로71길 14",""
"서울특별시 강남구 대치동","972-7","0972","0007","삼우빌라","78.15","58.5","201301","19","45,000","3","1982","도곡로87길 36",""
"서울특별시 강남구 대치동","972-7","0972","0007","삼우빌라","81.05","58.5","201304","22","44,000","3","1982","도곡로87길 36",""
"서울특별시 강남구 대치동","967-13","0967","0013","서경주택","34.8","32.45","201305","2","16,000","1","1987","영동대로71길 24",""
"서울특별시 강남구 대치동","967-13","0967","0013","서경주택","31.92","30.06","201306","19","25,000","-1","1987","영동대로71길 24",""
"서울특별시 강남구 대치동","919-26","0919","0026","썬빌리지","47.45","30.22","201307","29","40,800","4","2012","역삼로70길 20",""
